Gene	Hit	Module1	Module2	Class
DHCR24	FALSE	TRUE	FALSE	TRUE_FALSE
AMD1	FALSE	TRUE	TRUE	TRUE_TRUE
TM7SF2	FALSE	TRUE	FALSE	TRUE_FALSE
STEAP1	FALSE	TRUE	TRUE	TRUE_TRUE
SORD	FALSE	TRUE	FALSE	TRUE_FALSE
TSPAN8	FALSE	TRUE	TRUE	TRUE_TRUE
HIST2H2BE	FALSE	TRUE	TRUE	TRUE_TRUE
C1R	FALSE	TRUE	FALSE	TRUE_FALSE
FOXA1	FALSE	TRUE	FALSE	TRUE_FALSE
BASP1	FALSE	TRUE	TRUE	TRUE_TRUE
HOXB13	FALSE	TRUE	FALSE	TRUE_FALSE
NEFH	TRUE	TRUE	TRUE	TRUE_TRUE
AQP3	FALSE	FALSE	TRUE	FALSE_TRUE
RDH11	FALSE	FALSE	TRUE	FALSE_TRUE
KLK2	FALSE	FALSE	TRUE	FALSE_TRUE
SERPING1	FALSE	FALSE	TRUE	FALSE_TRUE
FBLN1	FALSE	FALSE	TRUE	FALSE_TRUE
