Gene	Hit	Module1	Module2	Class
DHCR24	FALSE	TRUE	TRUE	TRUE_TRUE
PTPRN2	FALSE	TRUE	TRUE	TRUE_TRUE
TSPAN8	FALSE	TRUE	FALSE	TRUE_FALSE
STEAP1	FALSE	TRUE	TRUE	TRUE_TRUE
FAAH	FALSE	TRUE	TRUE	TRUE_TRUE
HIST2H2BE	FALSE	TRUE	TRUE	TRUE_TRUE
SORD	FALSE	TRUE	TRUE	TRUE_TRUE
C1S	TRUE	TRUE	TRUE	TRUE_TRUE
NEDD4L	FALSE	TRUE	FALSE	TRUE_FALSE
HOXB13	FALSE	TRUE	TRUE	TRUE_TRUE
COX7A1	FALSE	TRUE	FALSE	TRUE_FALSE
KLK2	TRUE	TRUE	TRUE	TRUE_TRUE
FOXA1	FALSE	TRUE	TRUE	TRUE_TRUE
FASN	FALSE	TRUE	FALSE	TRUE_FALSE
TSPAN1	FALSE	FALSE	TRUE	FALSE_TRUE
TM7SF2	FALSE	FALSE	TRUE	FALSE_TRUE
AMD1	FALSE	FALSE	TRUE	FALSE_TRUE
TMEM47	FALSE	FALSE	TRUE	FALSE_TRUE
SLC4A4	FALSE	FALSE	TRUE	FALSE_TRUE
FBP1	FALSE	FALSE	TRUE	FALSE_TRUE
BASP1	FALSE	FALSE	TRUE	FALSE_TRUE
